,name,long,lat,df_name,cat1,cat2,cat1_name,cat2_name
113,,9.20085312195741,45.4814234801125,distr,non alimentare,,settore_merceologico,
114,ecliss,9.16889017942,45.4502479923,distr,non alimentare,,settore_merceologico,
115,,9.19443005784,45.4678713143,distr,non alimentare,,settore_merceologico,
116,,9.2081689797,45.4773041555,distr,non alimentare,,settore_merceologico,
117,,9.17324627249,45.4512554994,distr,non alimentare,,settore_merceologico,
118,bassetti,9.17022502383,45.4835440549,distr,non alimentare,,settore_merceologico,
119,carrefour,,,distr,alimentare|non alimentare,,settore_merceologico,
120,arona spa-alfaromeo fiat,,,distr,non alimentare,,settore_merceologico,
121,porsche,9.17303166284,45.4952521681,distr,non alimentare,,settore_merceologico,
122,,9.17262725472,45.5036400315,distr,non alimentare,,settore_merceologico,
123,garage porpora autofficin,9.22965984124,45.486477698,distr,non alimentare,,settore_merceologico,
124,libreria esoterica,9.18757928893,45.4614746193,distr,non alimentare,,settore_merceologico,
125,,9.18713725318,45.4727785408,distr,non alimentare,,settore_merceologico,
126,carrefour,9.16160265375,45.4665143187,distr,alimentare|non alimentare,,settore_merceologico,
127,,9.1852952769,45.469580122,distr,alimentare|non alimentare,,settore_merceologico,
128,,9.15214503946,45.5214710745,distr,non alimentare,,settore_merceologico,
129,la libreria dei ragazzi,9.21036955927,45.4820008413,distr,non alimentare,,settore_merceologico,
130,,9.1992042156,45.4666169368,distr,non alimentare,,settore_merceologico,
131,,9.22907388092,45.4380500802,distr,non alimentare,,settore_merceologico,
132,,9.17731423363,45.5083847191,distr,non alimentare,,settore_merceologico,
133,,9.23487525485,45.4725722925,distr,non alimentare,,settore_merceologico,
134,discount,9.19802839872,45.5032083472,distr,alimentare|non alimentare,,settore_merceologico,
135,unes,9.14402703253,45.4989138211,distr,alimentare|non alimentare,,settore_merceologico,
136,carrefour,,,distr,alimentare|non alimentare,,settore_merceologico,
137,,9.20954916859,45.4730040907,distr,non alimentare,,settore_merceologico,
138,,,,distr,non alimentare,,settore_merceologico,
139,spazionavigli,9.17212033767,45.4535908232,distr,non alimentare,,settore_merceologico,
140,,9.19008425589,45.4699412963,distr,Non Alimentare,,settore_merceologico,
141,,9.21138640738,45.467367672,distr,non alimentare,,settore_merceologico,
142,concessionari ricamb.fiat,9.2216251158,45.4401250741,distr,non alimentare,,settore_merceologico,
143,centro sposi paradiso,9.21825615517,45.4866233656,distr,alimentare|non alimentare,,settore_merceologico,
144,,9.14046879891,45.4999184206,distr,non alimentare,,settore_merceologico,
145,,9.22996719537,45.4374614407,distr,non alimentare,,settore_merceologico,
146,,9.17003167298,45.4609642757,distr,non alimentare,,settore_merceologico,
147,,9.14330671591,45.4721246359,distr,alimentare|non alimentare,,settore_merceologico,
148,la casa italiana,9.17627876647,45.4773529903,distr,non alimentare,,settore_merceologico,
149,,9.2086666855,45.4740922564,distr,Alimentare|Non Alimentare,,settore_merceologico,
150,di per di,9.20167811089,45.4796900819,distr,alimentare|non alimentare,,settore_merceologico,
151,,9.16505242559,45.4804133009,distr,non alimentare,,settore_merceologico,
152,,9.17763508707,45.4781977563,distr,non alimentare,,settore_merceologico,
153,unes supermercati,9.20265298573,45.4322000458,distr,alimentare|non alimentare,,settore_merceologico,
154,,,,distr,Alimentare|Non Alimentare,,settore_merceologico,
155,,9.21155796517,45.4610469739,distr,Alimentare|Non Alimentare,,settore_merceologico,
156,,9.22190929674,45.5180474495,distr,non alimentare,,settore_merceologico,
157,,9.19747416825,45.4694345903,distr,Non Alimentare,,settore_merceologico,
158,,9.15083653089,45.4665688611,distr,alimentare|non alimentare,,settore_merceologico,
159,,9.23919526087,45.4912733414,distr,non alimentare,,settore_merceologico,
160,,9.17327154645,45.4417680329,distr,non alimentare,,settore_merceologico,
161,,9.20595185227,45.4749620453,distr,non alimentare,,settore_merceologico,
162,,9.16302647774,45.4666218246,distr,Non Alimentare,,settore_merceologico,
163,,9.17233399401875,45.5153786142801,distr,non alimentare,,settore_merceologico,
164,di per di,9.26786297215,45.5060615834,distr,alimentare|non alimentare,,settore_merceologico,
165,libero srl.,9.1422412946,45.4682759716,distr,non alimentare,,settore_merceologico,
166,,,,distr,Alimentare|Non Alimentare,,settore_merceologico,
167,,9.18245347449,45.4323107217,distr,non alimentare,,settore_merceologico,
168,,9.18173635775,45.4716204823,distr,Alimentare|Non Alimentare,,settore_merceologico,
169,celio,9.19335078016,45.4650438149,distr,non alimentare,,settore_merceologico,
170,artemide,9.19993411886,45.4669621137,distr,non alimentare,,settore_merceologico,
171,,9.17388476414,45.4601974158,distr,non alimentare,,settore_merceologico,
172,punto sma,,,distr,alimentare|non alimentare,,settore_merceologico,
173,,9.1529372412,45.4888275032,distr,non alimentare,,settore_merceologico,
174,,9.20108936630072,45.4892811309648,distr,non alimentare,,settore_merceologico,
175,di per di,9.14091620227,45.4505392086,distr,alimentare|non alimentare,,settore_merceologico,
176,guess,9.20697511599,45.4759627873,distr,non alimentare,,settore_merceologico,
177,,9.1970120676,45.4653251127,distr,Non Alimentare,,settore_merceologico,
178,,9.21202745383,45.4854630227,distr,non alimentare,,settore_merceologico,
179,spotorno car srl,9.19920180367,45.5045990446,distr,non alimentare,,settore_merceologico,
180,cornegliani,9.1950186067,45.46850189,distr,non alimentare,,settore_merceologico,
