,CODICE COMPLESSO,DENOMINAZIONE COMPLESSO,CODICE EDIFICIO,DENOMINAZIONE EDIFICIO,INDIRIZZO,CIVICO,COMUNE,CONDOMINIO,full_address,lat,lon
841,410398,VIZZOLO - SARMAZZANO 7-9,41039803,SARMAZZANO CIV. 7/13-16 (VIALE),VIALE SARMAZZANO,7/,VIZZOLO PREDABISSI,,VIALE SARMAZZANO 7/ VIZZOLO PREDABISSI,45.366705,9.3422234
842,410398,VIZZOLO - SARMAZZANO 7-9,41039804,SARMAZZANO CIV. 9/1-8 (VIALE),VIALE SARMAZZANO,9/,VIZZOLO PREDABISSI,,VIALE SARMAZZANO 9/ VIZZOLO PREDABISSI,45.3669219,9.3435369
843,410398,VIZZOLO - SARMAZZANO 7-9,41039805,SARMAZZANO CIV. 9/9-14 (VIALE),VIALE SARMAZZANO,9/,VIZZOLO PREDABISSI,,VIALE SARMAZZANO 9/ VIZZOLO PREDABISSI,45.3669219,9.3435369
844,410398,VIZZOLO - SARMAZZANO 7-9,41039806,SARMAZZANO PAS 7/ (VIALE),VIALE SARMAZZANO,7/,VIZZOLO PREDABISSI,,VIALE SARMAZZANO 7/ VIZZOLO PREDABISSI,45.366705,9.3422234
845,410398,VIZZOLO - SARMAZZANO 7-9,41039807,SARMAZZANO PAS 9/ (VIALE),VIALE SARMAZZANO,9/,VIZZOLO PREDABISSI,,VIALE SARMAZZANO 9/ VIZZOLO PREDABISSI,45.3669219,9.3435369
846,410399,FELTRINELLI NEW,41039901,"FELTRINELLI, 16",VIA FELTRINELLI,16,MILANO,,VIA FELTRINELLI 16 MILANO,45.4320185,9.2498081
847,510107,PORTA TICINESE 51,51010701,"PORTA TICINESE, 51A (CORSO)",CORSO DI PORTA TICINESE,51A,MILANO,,CORSO DI PORTA TICINESE 51A MILANO,45.4529881,9.1802886
848,510108,LODI,51010801,"LODI, 8 (VIA)",CORSO LODI,8,MILANO,,CORSO LODI 8 MILANO,45.4504475,9.2044569
849,510110,DATEO,51011001,"DATEO, 5 (PIAZZALE)",PIAZZALE DATEO,5,MILANO,,PIAZZALE DATEO 5 MILANO,45.4685931,9.2165363
850,510111,ASTESANI,51011101,"ASTESANI, 56 (VIA)",VIA ASTESANI ALESSANDRO,56,MILANO,SI,VIA ASTESANI ALESSANDRO 56 MILANO,45.515958,9.1722141
851,510115,BESSARIONE,51011501,"BESSARIONE, 16 (VIA)",VIA BESSARIONE,16,MILANO,SI,VIA BESSARIONE 16 MILANO,45.4393375,9.2159285
852,510116,BATTISTA,51011601,"PIAZZETTA GIOVANNI BATTISTA, 23 (VIA)",VIA PIAZZETTA GIOVANNI BATTISTA,23,MILANO,,VIA PIAZZETTA GIOVANNI BATTISTA 23 MILANO,45.435651,9.2232762
853,510117,BREGANZE,51011701,"DI BREGANZE, 2 (VIA)",VIA DI BREGANZE GIOVANNI,2,MILANO,SI,VIA DI BREGANZE GIOVANNI 2 MILANO,45.461675,9.1084867
854,510117,BREGANZE,51011702,"DI BREGANZE, 4 (VIA)",VIA DI BREGANZE GIOVANNI,4,MILANO,SI,VIA DI BREGANZE GIOVANNI 4 MILANO,45.461675,9.1084867
855,510118,BROGGI,51011801,"BROGGI, 5 (VIA)",VIA BROGGI GIUSEPPE,5,MILANO,,VIA BROGGI GIUSEPPE 5 MILANO,45.4782824,9.2100862
856,510119,PADERNO,51011901,"CADORNA, 25 (VIA)",PIAZZALE CADORNA LUIGI,25,PADERNO DUGNANO,SI,PIAZZALE CADORNA LUIGI 25 PADERNO DUGNANO,,
857,510120,CARLI,51012001,"CARLI, 47",VIA CARLI GIAN RINALDO,47,MILANO,,VIA CARLI GIAN RINALDO 47 MILANO,45.5240898,9.1701364
858,510121,CASCINA CORBA,51012101,"CASCINA CORBA, 75",VIA CASCINA CORBA,75,MILANO,,VIA CASCINA CORBA 75 MILANO,45.4518753,9.13036641125402
859,510122,CECHOV,51012201,"CECHOV, 20 H (VIA)",VIA CECHOV ANTONIO,20,MILANO,SI,VIA CECHOV ANTONIO 20 MILANO,45.4947575,9.1136302
860,510122,CECHOV,51012202,"CECHOV, 20 I (VIA)",VIA CECHOV ANTONIO,20,MILANO,SI,VIA CECHOV ANTONIO 20 MILANO,45.4947575,9.1136302
861,510123,CENISIO,51012301,"CENISIO, 40 (VIA)",VIA CENISIO,40,MILANO,SI,VIA CENISIO 40 MILANO,45.4878402,9.1651383
862,510124,COMUNE ANTICO,51012401,"COMUNE ANTICO, 65 ED.1 (VIA)",VIA COMUNE ANTICO,65,MILANO,SI,VIA COMUNE ANTICO 65 MILANO,45.5075682,9.2073921
863,510124,COMUNE ANTICO,51012402,"COMUNE ANTICO, 65 ED.2 (VIA)",VIA COMUNE ANTICO,65,MILANO,SI,VIA COMUNE ANTICO 65 MILANO,45.5075682,9.2073921
864,510125,BOLLATE,51012501,"CONI ZUGNA, 20 (VIA)",VIALE CONI ZUGNA,20,BOLLATE,SI,VIALE CONI ZUGNA 20 BOLLATE,,
865,510126,CORELLI,51012601,"CORELLI, 142 (VIA)",VIA CORELLI ARCANGELO,142,MILANO,,VIA CORELLI ARCANGELO 142 MILANO,45.4713411,9.2605399
866,510127,CREMOSANO,51012701,"CREMOSANO, 2 (VIA)",VIA CREMOSANO MARCO,2,MILANO,,VIA CREMOSANO MARCO 2 MILANO,45.4831552,9.1418918
867,510128,CRESCENZAGO,51012801,"CRESCENZAGO, 56 (VIA)",VIA CRESCENZAGO,56,MILANO,,VIA CRESCENZAGO 56 MILANO,45.4915244,9.2413663
868,510129,DEI GIGLI,51012901,DEI GIGLI 1 ED. (VIA),VIA DEI GIGLI,3,MILANO,,VIA DEI GIGLI 3 MILANO,45.4532719,9.1322324
869,510130,MISSAGLIA,51013001,"MISSAGLIA, 48 (VIA)",VIA DEI MISSAGLIA,48,MILANO,,VIA DEI MISSAGLIA 48 MILANO,45.4011042,9.1736222
870,510131,BENIAMINO DELLA TORRE,51013101,BENIAMINO DELLA TORRE 5 (VIA),VIA DON FRANCESCO BENIAMINO DELLA T,5RRE,MILANO,,VIA DON FRANCESCO BENIAMINO DELLA T 5RRE MILANO,,
871,510131,BENIAMINO DELLA TORRE,51013102,BENIAMINO DELLA TORRE 3 (VIA),VIA DON FRANCESCO BENIAMINO DELLA T,3RRE,MILANO,,VIA DON FRANCESCO BENIAMINO DELLA T 3RRE MILANO,,
872,510131,BENIAMINO DELLA TORRE,51013103,BENIAMINO DELLA TORRE 1 (VIA),VIA DON FRANCESCO BENIAMINO DELLA T,1RRE,MILANO,,VIA DON FRANCESCO BENIAMINO DELLA T 1RRE MILANO,,
873,510132,ORCHIDEE II° (CIV.18),51013201,"ORCHIDEE, 18 (VIA)",VIA DELLE ORCHIDEE,18,MILANO,SI,VIA DELLE ORCHIDEE 18 MILANO,45.456151649999995,9.12816704079647
874,510133,ORCHIDEE I° (CIV.6-8),51013301,"DELLE ORCHIDEE, 6 (VIA)",VIA DELLE ORCHIDEE,6,MILANO,SI,VIA DELLE ORCHIDEE 6 MILANO,45.4563198,9.130615
875,510135,LAINATE,51013501,"FANIN, 15 ED.1(VIA)",VIA FANIN,15,LAINATE,SI,VIA FANIN 15 LAINATE,45.5758865,9.03535
876,510135,LAINATE,51013502,"FANIN, 15 ED.2(VIA)",VIA FANIN,15,LAINATE,SI,VIA FANIN 15 LAINATE,45.5758865,9.03535
877,510136,FARINI,51013601,"FARINI, 33 (VIA)",VIA FARINI CARLO,33,MILANO,SI,VIA FARINI CARLO 33 MILANO,45.4896401,9.1830758
878,510137,FORZE ARMATE,51013701,"DELLE FORZE ARMATE, 212-214 (VIA)",VIA DELLE FORZE ARMATE,212,MILANO,,VIA DELLE FORZE ARMATE 212 MILANO,45.4607295,9.1119702
879,510138,FRISI,51013801,"FRISI, 3 (VIA)",VIA FRISI PAOLO,3,MILANO,SI,VIA FRISI PAOLO 3 MILANO,45.4749745,9.2088238
880,510139,FERRARI,51013901,"FERRARI, 9 (VIA)",VIA FERRARI GAUDENZIO,9,MILANO,SI,VIA FERRARI GAUDENZIO 9 MILANO,45.4554446,9.1761733
881,510140,GIAMBELLINO 113-115,51014001,"GIAMBELLINO, 113-115 (VIA)",VIA GIAMBELLINO,113-115,MILANO,,VIA GIAMBELLINO 113-115 MILANO,45.4487079,9.1423367
882,510141,GONIN,51014101,"GONIN, 28 (VIA)",VIA GONIN FRANCESCO,28,MILANO,,VIA GONIN FRANCESCO 28 MILANO,45.4416551,9.1210602
883,510142,IMBONATI,51014201,"IMBONATI, 25 (VIA)",VIA IMBONATI CARLO,25,MILANO,SI,VIA IMBONATI CARLO 25 MILANO,45.4984509,9.184457
884,510144,CORBETTA,51014401,"LAMARMORA, 12/1 (VIA)",VIA LAMARMORA ALFONSO,12/1,CORBETTA,SI,VIA LAMARMORA ALFONSO 12/1 CORBETTA,45.4668414,8.9108955
885,510144,CORBETTA,51014402,"LAMARMORA, 12/2 (VIA)",VIA LAMARMORA ALFONSO,12/2,CORBETTA,SI,VIA LAMARMORA ALFONSO 12/2 CORBETTA,45.4668414,8.9108955
886,510144,CORBETTA,51014403,"LAMARMORA, 12/3 (VIA)",VIA LAMARMORA ALFONSO,12/3,CORBETTA,SI,VIA LAMARMORA ALFONSO 12/3 CORBETTA,45.4668414,8.9108955
887,510144,CORBETTA,51014404,"LAMARMORA, 14 (VIA)",VIA LAMARMORA ALFONSO,14,CORBETTA,SI,VIA LAMARMORA ALFONSO 14 CORBETTA,45.4668414,8.9108955
888,510146,LODOVICO IL MORO,51014601,"LODOVICO IL MORO, 61 (VIA)",VIA LODOVICO IL MORO,61,MILANO,SI,VIA LODOVICO IL MORO 61 MILANO,45.4448881,9.1431116
889,510147,LORENTEGGIO,51014701,"LORENTEGGIO, 56 (VIA)",VIA LORENTEGGIO,56,MILANO,SI,VIA LORENTEGGIO 56 MILANO,45.4525104,9.1439815
890,510148,MAGISTRI,51014801,"MAGISTRI, 4 (VIA)",VIA MAGISTRI GIOVANNI BALILLA,4,MILANO,,VIA MAGISTRI GIOVANNI BALILLA 4 MILANO,45.4476242,9.2132473
891,510149,MARTINETTI,51014901,"MARTINETTI, 21 (VIA)",VIA MARTINETTI PIERO,21,MILANO,SI,VIA MARTINETTI PIERO 21 MILANO,45.4663684,9.1337101
892,510150,MARTINI,51015001,"MARTINI, 2 (PIAZZALE)",PIAZZALE MARTINI FERDINANDO,2,MILANO,SI,PIAZZALE MARTINI FERDINANDO 2 MILANO,45.4565848,9.2204656
893,510151,MECENATE,51015101,"MECENATE, 7 (VIA)",VIA MECENATE,7,MILANO,SI,VIA MECENATE 7 MILANO,45.4558155,9.2444869
894,510152,MONLUE',51015201,"MONLUE', 75(VIA)",VIA MONLUE',83,MILANO,,VIA MONLUE' 83 MILANO,45.4559513,9.2548598
895,510152,MONLUE',51015202,"MONLUE', 81 (VIA)",VIA MONLUE',70,MILANO,,VIA MONLUE' 70 MILANO,45.4573713,9.2542191
896,510152,MONLUE',51015203,"MONLUE', 70/1 (VIA)",VIA MONLUE',70/1,MILANO,,VIA MONLUE' 70/1 MILANO,45.4574245,9.2541759
897,510152,MONLUE',51015204,"MONLUE', 76 (VIA)",VIA MONLUE',76,MILANO,,VIA MONLUE' 76 MILANO,45.4565349,9.2549312
898,510152,MONLUE',51015205,"MONLUE', 78 (VIA)",VIA MONLUE',78,MILANO,,VIA MONLUE' 78 MILANO,45.4574245,9.2541759
899,510152,MONLUE',51015206,"MONLUE', 70/2 (VIA)",VIA MONLUE',70/2,MILANO,,VIA MONLUE' 70/2 MILANO,45.4574245,9.2541759
900,510152,MONLUE',51015207,"MONLUE', 70/3",VIA MONLUE',70/3,MILANO,,VIA MONLUE' 70/3 MILANO,45.4574245,9.2541759
901,510154,NOVARA,51015401,"NOVARA, 228 (VIA)",VIA NOVARA,228,MILANO,,VIA NOVARA 228 MILANO,45.4782024,9.1064115
902,510155,ORTI,51015501,"ORTI, 10 (VIA)",VIA ORTI,10,MILANO,,VIA ORTI 10 MILANO,45.4549189,9.1998211
903,510156,OSIMO,51015601,OSIMO ED.1 (VIA),VIA OSIMO AUGUSTO,1-3,MILANO,,VIA OSIMO AUGUSTO 1-3 MILANO,45.4354889,9.2256409
904,510156,OSIMO,51015602,OSIMO ED.2 (VIA),VIA OSIMO AUGUSTO,1-3,MILANO,,VIA OSIMO AUGUSTO 1-3 MILANO,45.4354889,9.2256409
905,510158,PALMANOVA 34,51015801,"PALMANOVA, 34 (VIA)",VIA PALMANOVA,34,MILANO,SI,VIA PALMANOVA 34 MILANO,45.494577,9.2345565
906,510159,PARAVIA II° (CIV.91),51015901,"PARAVIA, 91 (VIA)",VIA PARAVIA PIER ALESSANDRO,91,MILANO,,VIA PARAVIA PIER ALESSANDRO 91 MILANO,45.4722666,9.1322263
907,510160,PESCARA II° (CIV.69),51016001,"PESCARA, 69 (VIA)",VIA PESCARA,69,MILANO,,VIA PESCARA 69 MILANO,45.4012188,9.1831718
908,510161,PINEROLO,51016101,PINEROLO 40 ED.1 (VIA),VIA PINEROLO,40,MILANO,,VIA PINEROLO 40 MILANO,45.4754579,9.1150679
909,510161,PINEROLO,51016102,PINEROLO 40 ED.2 (VIA),VIA PINEROLO,40,MILANO,,VIA PINEROLO 40 MILANO,45.4754579,9.1150679
910,510161,PINEROLO,51016103,PINEROLO 40 ED.3 (VIA),VIA PINEROLO,40,MILANO,,VIA PINEROLO 40 MILANO,45.4754579,9.1150679
911,510161,PINEROLO,51016104,PINEROLO 40 ED.4 (VIA),VIA PINEROLO,40,MILANO,,VIA PINEROLO 40 MILANO,45.4754579,9.1150679
912,510162,PRIMATICCIO,51016201,"PRIMATICCIO, 131 (VIA)",VIA PRIMATICCIO FRANCESCO,131,MILANO,SI,VIA PRIMATICCIO FRANCESCO 131 MILANO,45.4533862,9.1336
913,510163,QUADRIO,51016301,"QUADRIO, 11 (VIA)",VIA QUADRIO MAURIZIO,11,MILANO,,VIA QUADRIO MAURIZIO 11 MILANO,45.4838584,9.1842136
914,510165,DI LAURIA,51016501,"DI LAURIA, 17 (VIA)",VIA RUGGERO DI LAURIA,17,MILANO,,VIA RUGGERO DI LAURIA 17 MILANO,45.4849312,9.1561742
915,510166,SAN FAUSTINO,51016601,"FAUSTINO, 1 (VIA)",VIA SAN FAUSTINO,1,MILANO,SI,VIA SAN FAUSTINO 1 MILANO,45.4711334,9.2417262
916,510167,SAN PAOLINO,51016701,"SAN PAOLINO, 5 (VIA)",VIA SAN PAOLINO,5,MILANO,,VIA SAN PAOLINO 5 MILANO,45.4343406,9.1653652
917,510169,SOLARI,51016901,"SOLARI, 40 ED.1 (VIA)",VIA SOLARI ANDREA,40,MILANO,,VIA SOLARI ANDREA 40 MILANO,45.4544131449,9.15977422403
918,510169,SOLARI,51016902,"SOLARI, 40 ED.2(VIA)",VIA SOLARI ANDREA,40,MILANO,,VIA SOLARI ANDREA 40 MILANO,45.4544131449,9.15977422403
919,510169,SOLARI,51016903,"SOLARI, 40 ED.3 (VIA)",VIA SOLARI ANDREA,40,MILANO,,VIA SOLARI ANDREA 40 MILANO,45.4544131449,9.15977422403
920,510169,SOLARI,51016904,"SOLARI, 40 ED.4 (VIA)",VIA SOLARI ANDREA,40,MILANO,,VIA SOLARI ANDREA 40 MILANO,45.4544131449,9.15977422403
921,510170,TARTINI,51017001,"TARTINI, 3/A (VIA)",VIA TARTINI GIUSEPPE,3/A,MILANO,SI,VIA TARTINI GIUSEPPE 3/A MILANO,45.5061881,9.1748136
922,510171,TOFANO II° (CIV.5),51017101,"TOFANO, 5 (VIA) TORRE A",VIA TOFANO SERGIO,5,MILANO,,VIA TOFANO SERGIO 5 MILANO,45.4777754,9.0933166
923,510171,TOFANO II° (CIV.5),51017102,"TOFANO, 5 (VIA) TORRE B",VIA TOFANO SERGIO,5,MILANO,,VIA TOFANO SERGIO 5 MILANO,45.4777754,9.0933166
924,510171,TOFANO II° (CIV.5),51017103,"TOFANO, 5 (VIA) TORRE C",VIA TOFANO SERGIO,5,MILANO,,VIA TOFANO SERGIO 5 MILANO,45.4777754,9.0933166
925,510172,VAL LAGARINA,51017201,"VAL LAGARINA, 67 (VIA)",VIA VAL LAGARINA,67,MILANO,SI,VIA VAL LAGARINA 67 MILANO,45.5208835,9.1332558
926,510173,VENINI,51017301,"VENINI, 26 (VIA)",VIA VENINI GIULIO E CORRADO,26,MILANO,SI,VIA VENINI GIULIO E CORRADO 26 MILANO,45.4891420086,9.21390664556
927,510174,VERRO,51017401,"VERRO, 78/C (VIA)",VIA VERRO BERNARDINO,78/C,MILANO,SI,VIA VERRO BERNARDINO 78/C MILANO,45.4351494,9.1956367
928,510175,BLIGNY,51017501,"BLIGNY, 24 (VIA)",VIALE BLIGNY,24,MILANO,,VIALE BLIGNY 24 MILANO,45.4507226,9.1901777
